aabenserraagin	[["Viimeisen Aabenserraagin vaiheet", 1]]
establishing	[["Establishing Relations: Odd Craft, Part 7.", 1]]
establishment	[["A Smaller History of Rome: from the Earliest Times to the Establishment of the Empire", 1], ["History of the Catholic Church in Paterson, N.J.: with an Account of the Celebration of the Fiftieth Anniversary of the Establishment of St. John's Church", 1], ["Ocean Gardens. The History of the Marine Aquarium: and the best methods now adopted for its establishment and preservation.", 1], ["The Fathers of the Constitution: A Chronicle of the Establishment of the Union", 1], ["The Heritage of The South: A History of the Introduction of Slavery; Its Establishment From Colonial Times and Final Effect Upon the Politics of the United States", 1], ["The History of Rome, Book V: The Establishment of the Military Monarchy", 1], ["The History of the Inquisition of Spain from the Time of its Establishment to the Reign of Ferdinand VII.", 1], ["The Inquisition : $b a political and military study of its establishment", 1], ["The Tower Menagerie : $b comprising the natural history of the animals contained in that establishment; with anecdotes of their characters and history.", 1], ["The Voyage of Governor Phillip to Botany Bay: With an Account of the Establishment of the Colonies of Port Jackson and Norfolk Island (1789)", 1], ["The Wyoming Military Establishment. A History of the Twenty-fourth Regiment of Connecticut Militia: An Address Before the Tioga Point Historical Society, Delivered December 3rd, 1901", 1]]
establishments	[["A voyage to Senegal : $b or, Historical, philosophical, and political memoirs, relative to the discoveries, establishments and commerce of Europeans in the Atlantic Ocean, from Cape Blanco to the river of Sierra Leone", 1], ["Prisoners their own warders : $b a record of the convict prison at Singapore in the Straits Settlements, established 1825, discontinued 1873, together with a cursory history of the convict establishments at Bencoolen, Penang and Malacca from the year 1797", 1]]
estate	[["Mortomley's Estate: A Novel. Vol. 1 (of 3)", 1], ["Mortomley's Estate: A Novel. Vol. 2 (of 3)", 1], ["Mortomley's Estate: A Novel. Vol. 3 (of 3)", 1], ["Round About a Great Estate", 1], ["The Belton Estate", 1], ["The Fourth Estate, vol. 1", 1], ["The Fourth Estate, vol. 2", 1], ["Valuation of Real Estate in the Town of Acton. November 2, 1850.", 1]]
este	[["Beatrice d'Este, Duchess of Milan, 1475-1497", 1]]
ester	[["Ester Ried", 1], ["Ester Ried Yet Speaking", 1]]
esther	[["Esther", 1], ["Esther : a book for girls", 1], ["Esther Waters", 1], ["Esther's Charge: A Story for Girls", 1], ["Expositions of Holy Scripture: Second Kings Chapters VIII to End and Chronicles, Ezra, and Nehemiah. Esther, Job, Proverbs, and Ecclesiastes", 1], ["The Blood of Rachel, a Dramatization of Esther, and Other Poems", 1], ["The Expositor's Bible: Ezra, Nehemiah, and Esther", 1], ["The Haunted House: A True Ghost Story: Being an account of the mysterious manifestations that have taken place in the presence of Esther Cox, the young girl who is possessed of devils, and has become known throughout the entire dominion as the great Amherst mystery", 1], ["The Marriage of Esther", 1]]
esthetic	[["Sketch of a New Esthetic of Music", 1]]
esthetical	[["The Masters and Their Music: A series of illustrative programs with biographical,; esthetical, and critical annotations", 1]]
esthonia	[["The Hero of Esthonia and Other Studies in the Romantic Literature of That Country", 1]]
estimate	[["A Statement of Facts Tending to Establish an Estimate of the True Value and Present State of Vaccination", 1], ["An Estimate of the True Value of Vaccination as a Security Against Small Pox", 1], ["An Estimate of the Value and Influence of Works of Fiction in Modern Times", 1], ["Robert Louis Stevenson: A Record, an Estimate, and a Memorial", 1], ["What the Church Means to Me: A Frank Confession and a Friendly Estimate by an Insider", 1]]
estimates	[["Aspects of Modern Opera: Estimates and Inquiries", 1], ["Contemporary American Composers: Being a Study of the Music of This Country, Its Present; Conditions and Its Future, with Critical Estimates and; Biographies of the Principal Living Composers; and an; Abundance of Portraits, Fac-simile Musical Autographs, and; Compositions", 1], ["Description of the Process of Manufacturing Coal Gas, for the Lighting of Streets Houses, and Public Buildings: With Elevations, Sections, and Plans of the Most Improved Sorts of Apparatus Now Employed at the Gas Works in London and the Principal Provincial Towns of Great Britain; Accompanied With Comparative Estimates, Exhibiting the Most Economical Mode of Procuring This Species of Light", 1]]
esto	[["Esto perpetua : $b Algerian studies and impressions", 1]]
estudiante	[["El Estudiante de Salamanca and Other Selections", 1]]
et	[["Contes et légendes. 1re Partie", 1], ["Debussy's Pelléas et Mélisande: A Guide to the Opera with Musical Examples from the Score", 1], ["Insula Sanctorum et Doctorum; Or, Ireland's Ancient Schools and Scholars", 1], ["Mathieu Ropars: et cetera", 1], ["Memoirs of the Duchesse De Dino (Afterwards Duchesse de Talleyrand et de Sagan), 1841-1850", 1], ["Memoirs of the Duchesse de Dino (Afterwards Duchesse de Talleyrand et de Sagan), 1831-1835", 1], ["Memoirs of the Duchesse de Dino (Afterwards Duchesse de Talleyrand et de Sagan), 1836-1840", 1], ["The Mind and the Brain: Being the Authorised Translation of L'Âme et le Corps", 1]]
etain	[["Etain the Beloved, and Other Poems", 1]]
etarre	[["The loves of Pelleas and Etarre", 1]]
etc	[["Narrative of the Operations of a Detachment in an Expedition to Candy, in the Island of Ceylon, in the Year 1804: With Some Observations on the Previous Campaign, and on the Nature of Candian Warfare, etc., etc., etc.", 3], ["Popular Scientific Recreations: in Natural Philosphy, Astronomy, Geology, Chemistry, etc., etc., etc.", 3], ["Soldiering in North Carolina: Being the experiences of a 'typo' in the pines, swamps, fields, sandy roads, towns, cities, and among the fleas, wood-ticks, 'gray-backs,' mosquitoes, blue-tail flies, moccasin snakes, lizards, scorpions, rebels, and other reptiles, pests, and vermin of the 'Old North State.' Embracing an account of the three-years and nine-months Massachusetts regiments in the department, the freedmen, etc., etc., etc.", 3], ["A Monograph on the Sub-class Cirripedia (Volume 2 of 2): The Balanidæ, (or Sessile Cirripedes); the Verrucidæ, etc., etc.", 2], ["A Practical Treatise on the Manufacture of Perfumery: Comprising directions for making all kinds of perfumes, sachet powders, fumigating materials, dentrifices, cosmetics, etc., etc., with a full account of the volatile oils, balsams, resins, and other natural and artificial perfume-substances, including the manufacture of fruit ethers, and tests of their purity", 2], ["A Voyage Round the World, Volume I: Including Travels in Africa, Asia, Australasia, America, etc., etc., from 1827 to 1832", 2], ["Bicycling for Ladies: The Common Sense of Bicycling; with Hints as to the Art of Wheeling—Advice to Beginners—Dress—Care of the Bicycle—Mechanics—Training—Exercise, etc., etc.", 2], ["Carols of Canada, Etc., Etc.", 2], ["Hair Breadth Escapes: Perilous incidents in the lives of sailors and travelers in Japan, Cuba, East Indies, etc., etc.", 2], ["History of the Johnstown Flood: Including all the Fearful Record; the Breaking of the South Fork Dam; the Sweeping Out of the Conemaugh Valley; the Over-Throw of Johnstown; the Massing of the Wreck at the Railroad Bridge; Escapes, Rescues, Searches for Survivors and the Dead; Relief Organizations, Stupendous Charities, etc., etc., With Full Accounts also of the Destruction on the Susquehanna and Juniata Rivers, and the Bald Eagle Creek.", 2], ["Intestinal Ills: Chronic Constipation, Indigestion, Autogenetic Poisons, Diarrhea, Piles, Etc. Also Auto-Infection, Auto-Intoxication, Anemia, Emaciation, Etc. Due to Proctitis and Colitis", 2], ["Lectures of Col. R. G. Ingersoll, Volume I: Including His Answers to the Clergy, His Oration at His Brother's Grave, Etc., Etc.", 2], ["Midwifery and the diseases of women : $b A descriptive and practical work showing the superiority of water-treatment in menstruation and its disorders, chlorosis, leucorrhea, fluor albus, prolapsus uteri, hysteria, spinal diseases, and other weaknesses of females, in pregnancy and its diseases, abortion, uterine hemorrhage, and the general management of childbirth, nursing, etc., etc.", 2], ["Narrative of the Voyage of H.M.S. Rattlesnake, Commanded By the Late Captain Owen Stanley, R.N., F.R.S. Etc. During the Years 1846-1850. — Volume 1: Including Discoveries and Surveys in New Guinea, the Louisiade Archipelago, Etc. to Which Is Added the Account of Mr. E.B. Kennedy's Expedition for the Exploration of the Cape York Peninsula. By John Macgillivray, F.R.G.S. Naturalist to the Expedition.", 2], ["Narrative of the Voyage of H.M.S. Rattlesnake, Commanded By the Late Captain Owen Stanley, R.N., F.R.S. Etc. During the Years 1846-1850. — Volume 2: Including Discoveries and Surveys in New Guinea, the Louisiade Archipelago, Etc. to Which Is Added the Account of Mr. E.B. Kennedy's Expedition for the Exploration of the Cape York Peninsula. By John Macgillivray, F.R.G.S. Naturalist to the Expedition.", 2], ["Our Show: A Humorous Account of the International Exposition in Honor of the Centennial Anniversary of American Independence, from Inception to Completion, Including Description of Buildings, Biographies of Managers, Receptions of Foreign Dignitaries, Opening Ceremonies, Poem, Oration, Amusing Survey of All Departments, Incidents, Etc., Etc.", 2], ["Queer questions and ready replies : $b A collection of four hundred questions in history, geography, biography, mythology, philosophy, natural history, science, philology, etc., etc., with their answers", 2], ["Secret Chambers and Hiding Places: Historic, Romantic, & Legendary Stories & Traditions About Hiding-Holes, Secret Chambers, Etc.", 2], ["The Art of Perfumery, and Methods of Obtaining the Odors of Plants: With Instructions for the Manufacture of Perfumes for the Handkerchief, Scented Powders, Odorous Vinegars, Dentifrices, Pomatums, Cosmetics, Perfumed Soap, Etc., to which is Added an Appendix on Preparing Artificial Fruit-Essences, Etc.", 2], ["The Game Fish, of the Northern States and British Provinces: With an account of the salmon and sea-trout fishing of Canada and New Brunswick, together with simple directions for tying artificial flies, etc., etc.", 2], ["The Naturalist's Repository, Volume 1 (of 5): or Monthly Miscellany of Exotic Natural History: etc. etc.", 2], ["The Whitehouse Cookbook (1887): Cooking, Toilet and Household Recipes, Menus, Dinner-Giving, Table Etiquette, Care of the Sick, Health Suggestions, Facts Worth Knowing, Etc., Etc.; The Whole Comprising a Comprehensive Cyclopedia of Information for the Home", 2], ["Toadstools, mushrooms, fungi, edible and poisonous; one thousand American fungi: How to select and cook the edible; how to distinguish and avoid the poisonous, with full botanic descriptions. Toadstool poisons and their treatment, instructions to students, recipes for cooking, etc., etc.", 2], ["A Lear of the Steppes, etc.", 1], ["A Synopsis of the British Mosses: Containing Descriptions of All the Genera and Species, (With Localities of the Rarer Ones) Found in Great Britain and Ireland, Based Upon Wilson's \"Bryologia Britannica,\" Schimper's \"Synopsis,\" Etc.", 1], ["A handbook of library appliances: The technical equipment of libraries: fittings, furniture, charging systems, forms, recipes, etc.", 1], ["A treatise on the esculent funguses of England: containing an account of their classical history, uses, characters, development, structure, nutritious properties, modes of cooking and preserving, etc.", 1], ["Alden's Handy Atlas of the World: Including One Hundred and Thirty-eight Colored Maps, Diagrams, Tables, Etc.", 1], ["An Account of the English Colony in New South Wales, Volume 1: With Remarks on the Dispositions, Customs, Manners, Etc. of The; Native Inhabitants of That Country. to Which Are Added, Some; Particulars of New Zealand; Compiled, By Permission, From; The Mss.         of Lieutenant-Governor King.", 1], ["An Account of the English Colony in New South Wales, Volume 2: An Account Of The English Colony In New South Wales, From Its First Settlement In 1788, To August 1801: With Remarks On The Dispositions, Customs, Manners, Etc. Of The Native Inhabitants Of That Country. To Which Are Added, Some Particulars Of New Zealand; Compiled, By Permission, From The Mss. Of Lieutenant-Governor King; And An Account Of The Voyage Performed By Captain Flinders And Mr. Bass.", 1], ["An Enquiry Concerning the Principles of Taste, and of the Origin of our Ideas of Beauty, etc.", 1], ["Anecdotes of the Manners and Customs of London during the Eighteenth Century; Vol. 1 (of 2): Including the Charities, Depravities, Dresses, and Amusements etc.", 1], ["Anecdotes of the Manners and Customs of London during the Eighteenth Century; Vol. 2 (of 2): Including the Charities, Depravities, Dresses, and Amusements etc.", 1], ["Aunt Jo's Scrap Bag, Volume 5: Jimmy's Cruise in the Pinafore, Etc.", 1], ["Aunt Jo's Scrap Bag, Volume 6: An Old-Fashioned Thanksgiving, Etc.", 1], ["Aunt Jo's Scrap-Bag, Volume 3: Cupid and Chow-chow, etc.", 1], ["Aunt Jo's Scrap-Bag, Volume 4: My Girls, etc.", 1], ["Bee Hunting: A Book of Valuable Information for Bee Hunters: Tells How to Line Bees to Trees, Etc.", 1], ["Burning truths from Billy's bat : $b A graphic description of the remarkable conversion of Rev. \"Billy\" Sunday (the world's famous evangelist)—embodying anecdotes, terse sayings, etc., compiled from various sources", 1], ["Farnham's Travels in the Great Western Prairies, etc., part 1, May 21-October 16, 1839", 1], ["Farnham's Travels in the Great Western Prairies, etc., part 2, October 21-December 4, 1839: and De Smet's Oregon Missions and Travels over the Rocky Mountains, 1845-1846", 1], ["Fur Farming: A book of Information about Fur Bearing Animals, Enclosures, Habits, Care, etc.", 1], ["Ginseng and Other Medicinal Plants: A Book of Valuable Information for Growers as Well as Collectors of Medicinal Roots, Barks, Leaves, Etc.", 1], ["Good Things to Eat, as Suggested by Rufus: A Collection of Practical Recipes for Preparing Meats, Game, Fowl, Fish, Puddings, Pastries, Etc.", 1], ["Guernsey Folk Lore: a collection of popular superstitions, legendary tales, peculiar customs, proverbs, weather sayings, etc., of the people of that island", 1], ["Gullible's Travels, Etc.", 1], ["Hardtack and coffee : $b or, the unwritten story of Army life, including chapters on enlisting, life in tents and log huts, jonahs and beats, offences and punishments, raw recruits, foraging, corps and corps badges, the wagon trains, the Army mule, the Engineer Corps, the Signal Corps, etc.", 1], ["Himalayan Journals — Complete: Or, Notes of a Naturalist in Bengal, the Sikkim and Nepal Himalayas, the Khasia Mountains, etc.", 1], ["Himalayan Journals — Volume 1: Or, Notes of a Naturalist in Bengal, the Sikkim and Nepal Himalayas, the Khasia Mountains, etc.", 1], ["Himalayan Journals — Volume 2: Or, Notes of a Naturalist in Bengal, the Sikkim and Nepal Himalayas, the Khasia Mountains, etc.", 1], ["History of Kershaw's Brigade: With Complete Roll of Companies, Biographical Sketches, Incidents, Anecdotes, etc.", 1], ["History of circumcision from the earliest times to the present : $b Moral and physical reasons for its performance, with a history of eunuchism, hermaphrodism, etc., and of the different operations practiced upon the prepuce", 1], ["Home Taxidermy for Pleasure and Profit: A Guide for Those Who Wish to Prepare and Mount Animals, Birds, Fish, Reptiles, etc., for Home, Den, or Office Decoration", 1], ["How Paper Boxes Are Made: A practical and instructive book telling how the beginner may manufacture all kinds of paper boxes, with special chapters on the printing department for paper box plants, embossing, gold-leafing, label work, etc.", 1], ["How it Works: Dealing in simple language with steam, electricity, light, heat, sound, hydraulics, optics, etc., and with their applications to apparatus in common use", 1], ["How to Behave: A Pocket Manual of Republican Etiquette, and Guide to Correct Personal Habits: Embracing an Exposition of the Principles of Good Manners; Useful Hints on the Care of the Person, Eating, Drinking, Exercise, Habits, Dress, Self-culture, and Behavior at Home; the Etiquette of Salutations, Introductions, Receptions, Visits, Dinners, Evening Parties, Conversation, Letters, Presents, Weddings, Funerals, the Street, the Church, Places of Amusement, Traveling, Etc., with Illustrative Anecdotes, a Chapter on Love and Courtship, and Rules of Order for Debating Societies", 1], ["If Only etc.", 1], ["Knots, Bends, Splices: With tables of strengths of ropes, etc. and wire rigging", 1], ["Knots, Splices and Rope Work: A Practical Treatise Giving Complete and Simple Directions for Making All the Most Useful and Ornamental Knots in Common Use, with Chapters on Splicing, Pointing, Seizing, Serving, etc.", 1], ["Legal Chemistry: A Guide to the Detection of Poisons, Examination of Tea, Stains, Etc., as Applied to Chemical Jurisprudence", 1], ["Marks' first lessons in geometry: In two parts. Objectively presented, and designed for the use of primary classes in grammar schools, academies, etc.", 1], ["Maxims and Instructions for the Boiler Room: Useful to Engineers, Firemen & Mechanics; Relating to Steam Generators, Pumps, Appliances, Steam Heating, Practical Plumbing, etc.", 1], ["Miracle Mongers and Their Methods: A Complete Exposé of the Modus Operandi of Fire Eaters, Heat Resisters, Poison Eaters, Venomous Reptile Defiers, Sword Swallowers, Human Ostriches, Strong Men, Etc.", 1], ["Model aeroplanes: The building of model monoplanes, biplanes, etc., together with a chapter on building a model airship", 1], ["Motherly talks with young housekeepers: embracing eighty-seven brief articles on topics of home interest, and about five hundred choice receipts for cooking, etc.", 1], ["Mrs. Hale's Receipts for the Million: Containing Four Thousand Five Hundred and Forty-five Receipts, Facts, Directions, etc. in the Useful, Ornamental, and Domestic Arts", 1], ["Piece Goods Manual: Fabrics described; textile, knit goods, weaving terms, etc., explained; with notes on the classification of samples.", 1], ["Practical Carriage and Wagon Painting: A Treatise on the Painting of Carriages, Wagons and Sleighs, Embracing Full and Explicit Directions for Executing All Kinds of Work, Including Painting Factory Work, Lettering, Scrolling, Ornamenting, Varnishing, etc., with Many Tested Recipes and Formulas", 1], ["Practical recitations: $b Selections for literary exercises appropriate for reception-days, holidays, poets' birthdays, etc.", 1], ["Principle in Art, Etc.", 1], ["Psychical Miscellanea: Being Papers on Psychical Research, Telepathy, Hypnotism, Christian Science, etc.", 1], ["Recollections of Thirty-nine Years in the Army: Gwalior and the Battle of Maharajpore, 1843; the Gold Coast of Africa, 1847-48; the Indian Mutiny, 1857-58; the expedition to China, 1860-61; the Siege of Paris, 1870-71; etc.", 1], ["Rings for the finger : $b from the earliest known times to the present, with full descriptions of the origin, early making, materials, the archæology, history, for affection, for love, for engagement, for wedding, commemorative, mourning, etc.", 1], ["Scarabs: The History, Manufacture and Symbolism of the Scarabæus in Ancient Egypt, Phoenicia, Sardinia, Etruria, etc.", 1], ["Scatalogic Rites of All Nations: A dissertation upon the employment of excrementitious remedial agents in religion, therapeutics, divination, witchcraft, love-philters, etc., in all parts of the globe", 1], ["Sheep, Swine, and Poultry: Embracing the History and Varieties of Each; The Best Modes of Breeding; Their Feeding and Management; Together with etc.", 1], ["Sir Ian Hamilton's Despatches from the Dardanelles, etc.", 1], ["Steel Traps: Describes the Various Makes and Tells How to Use Them, Also Chapters on Care of Pelts, Etc.", 1], ["Studies in Song, A Century of Roundels, Sonnets on English Dramatic Poets, The Heptalogia, Etc.: From Swinburne's Poems Volume V.", 1], ["Studies of American Fungi. Mushrooms, Edible, Poisonous, etc.", 1], ["Tales From the \"Phantasus,\" etc. of Ludwig Tieck", 1], ["The American Printer: A Manual of Typography: Containing practical directions for managing all departments of a printing office, as well as complete instructions for apprentices; with several useful tables, numerous schemes for imposing forms in every variety, hints to authors, etc.", 1], ["The Author's Desk Book: Being a Reference Volume upon Questions of the Relations of the Author to the Publisher, Copyright, The Relation of the Contributor to the Magazine, Mechanics of the Book, Arrangement of the Book, Making of the Index, Etc.", 1], ["The Battle of Atlanta: and Other Campaigns, Addresses, Etc.", 1], ["The Book of Buried Treasure: Being a True History of the Gold, Jewels, and Plate of Pirates, Galleons, etc., which are sought for to this day", 1], ["The Christian Home: As it is in the Sphere of Nature and the Church; Showing the Mission, Duties, Influences, Habits, and Responsibilities of Home, its Education, Government, and Discipline; with Hints on \"Match Making,\" and the Relation of Parents to the Marriage Choice of their Children; together with a consideration of the Tests in the Selection of a Companion, Etc.", 1], ["The Diary of Dr. John William Polidori, 1816, Relating to Byron, Shelley, etc.", 1], ["The Essays of Arthur Schopenhauer; Religion, a Dialogue, Etc.", 1], ["The Law of Psychic Phenomena: A working hypothesis for the systematic study of hypnotism, spiritism, mental therapeutics, etc.", 1], ["The Life and Public Services of James A. Garfield: Twentieth President of the United States, Including Full and Accurate Details of His Eventful Administration, Assassination, Last Hours, Death, Etc., Together with Notable Extracts from His Speeches and Letters", 1], ["The Life, Trial, Confession and Execution of Albert W. Hicks: The Pirate and Murderer, Executed on Bedloe's Island, New York Bay, on the 13th of July, 1860, for the Murder of Capt. Burr, Smith and Oliver Watts, on Board the Oyster Sloop E. A. Johnson. Containing the History of His Life (Written by Himself) from Childhood Up to the Time of His Arrest. With a Full Account of His Piracies, Murders, Mutinies, High-way Robberies, etc., Comprising the Particulars of Nearly One Hundred Murders! to which is added the Account of His Arrest, Imprisonment, Trial and Execution. Also, His Phrenological Character, as described by L. N. Fowler.", 1], ["The Natural Cure of Consumption, Constipation, Bright's Disease, Neuralgia, Rheumatism, \"Colds\" (Fevers), Etc.: How Sickness Originates, and How to Prevent It. A Health Manual for the People.", 1], ["The Oriental Rug: A Monograph on Eastern Rugs and Carpets, Saddle-Bags, Mats & Pillows, with a Consideration of Kinds and Classes, Types, Borders, Figures, Dyes, Symbols, etc. Together with Some Practical Advice to Collectors.", 1], ["The Phantom Death, etc.", 1], ["The Regimental Records of the British Army: A historical résumé chronologically arranged of titles, campaigns, honours, uniforms, facings, badges, nicknames, etc.", 1], ["The Sailor's Word-Book: An Alphabetical Digest of Nautical Terms, including Some More Especially Military and Scientific, but Useful to Seamen; as well as Archaisms of Early Voyagers, etc.", 1], ["The Traditional Games of England, Scotland, and Ireland (Vol 1 of 2): With Tunes, Singing-Rhymes and Methods of Playing etc.", 1], ["The Traditional Games of England, Scotland, and Ireland (Vol 2 of 2): With Tunes, Singing-Rhymes, and Methods of Playing etc.", 1], ["The Violin: Some Account of That Leading Instrument and Its Most Eminent Professors, from Its Earliest Date to the Present Time; with Hints to Amateurs, Anecdotes, etc.", 1], ["The Writer's Desk Book: Being a Reference Volume upon Questions of Punctuation, Capitalization, Spelling, Division of Words, Indention, Spacing, Italics, Abbreviations, Accents, Numerals, Faulty Diction, Letter Writing, Postal Regulations, Etc.", 1], ["The life and correspondence of Sir Anthony Panizzi, K.C.B., Vol. 1 (of 2): Late principal librarian of the British museum, senator of Italy, etc.", 1], ["The life and correspondence of Sir Anthony Panizzi, K.C.B., Vol. 2 (of 2): Late principal librarian of the British museum, senator of Italy, etc.", 1], ["The romance of excavation : $b A record of the amazing discoveries in Egypt, Assyria, Troy, Crete, etc.", 1], ["Three Years' Wanderings in the Northern Provinces of China: Including a visit to the tea, silk, and cotton countries; with an account of the agriculture and horticulture of the Chinese, new plants, etc.", 1], ["Two Wars: An Autobiography of General Samuel G. French: Mexican War; War between the States, a Diary; Reconstruction Period, His Experience; Incidents, Reminiscences, etc.", 1], ["Woman and Puppet, Etc.", 1], ["Zetetic astronomy: Earth not a globe!: An experimental inquiry into the true figure of the earth etc.", 1]]
etcetery	[["My Wayward Pardner; or, My Trials with Josiah, America, the Widow Bump, and Etcetery", 1]]
etched	[["Soldiers of the Legion, Trench-Etched", 1]]
etchers	[["Dutch Etchers of the Seventeenth Century", 1], ["Engravers and Etchers: Six Lectures Delivered on the Scammon Foundation at the Art Institute of Chicago, March 1916", 1]]
etching	[["A Treatise on Etching", 1], ["Etching in England: With 50 illustrations.", 1], ["Four Masters of Etching", 1]]
etchings	[["Rembrandt and His Etchings: A Compact Record of the Artist's Life, His Work and his Time. With the complete Chronological List of his Etchings", 2], ["Joseph Pennell's Pictures of the Wonder of Work: Reproductions of a Series of Drawings, Etchings, and Lithographs, Made by Him about the World, 1881-1915, with Impressions and Notes by the Artist", 1], ["London Impressions: Etchings and Pictures in Photogravure", 1], ["Rembrandt and His Works: Comprising a Short Account of His Life; with a Critical Examination into His Principles and Practice of Design, Light, Shade, and Colour. Illustrated by Examples from the Etchings of Rembrandt.", 1], ["Rembrandt, With a Complete List of His Etchings", 1], ["The Etchings of Charles Meryon", 1], ["The Mysteries of Paris, illustrated with etchings, Vol. 1", 1], ["The Mysteries of Paris, illustrated with etchings, Vol. 2", 1], ["The Mysteries of Paris, illustrated with etchings, Vol. 3", 1], ["The Mysteries of Paris, illustrated with etchings, Vol. 4", 1], ["The Mysteries of Paris, illustrated with etchings, Vol. 5", 1], ["The Mysteries of Paris, illustrated with etchings, Vol. 6", 1]]
eternal	[["Eternal Father, Strong to Save: a.k.a., Navy Hymn", 1], ["Eternal Life", 1], ["Hell: Warm Words on the Cheerful and Comforting Doctrine of Eternal Damnation", 1], ["Love Eternal", 1], ["Morituri: Three One-Act Plays: Teja—Fritzchen—The Eternal Masculine", 1], ["Roma beata; letters from the Eternal city", 1], ["The Eternal Boy: Being the Story of the Prodigious Hickey", 1], ["The Eternal City", 1], ["The Eternal Feminine", 1], ["The Eternal Maiden", 1], ["The Millennium, and Other Poems: To Which is Annexed, a Treatise on the Regeneration and Eternal Duration of Matter", 1], ["The Navy eternal : $b which is the Navy-that-Floats, the Navy-that-Flies and the Navy-under-the-Sea", 1], ["The eternal masculine : $b Stories of men and boys", 1], ["The eternal moment, and other stories", 1], ["The eternal savage", 1], ["Two Pilgrims' Progress; from fair Florence, to the eternal city of Rome", 1]]
eternity	[["Our Eternity", 1], ["Sinking of the \"Titanic\" : $b most appalling ocean horror; with graphic descriptions of hundreds swept to eternity beneath the waves ...", 1]]
ethan	[["Ethan Allen, the Robin Hood of Vermont", 1], ["Ethan Frome", 1], ["The Hero of Ticonderoga; or, Ethan Allen and His Green Mountain Boys", 1], ["With Ethan Allen at Ticonderoga", 1]]
ethel	[["Ethel Morton and the Christmas Ship", 1], ["Ethel Morton at Chautauqua", 1], ["Ethel Morton at Rose House", 1], ["Ethel Morton at Sweetbrier Lodge", 1], ["Ethel Morton's Enterprise", 1], ["Ethel Morton's Holidays", 1], ["The Complete Cynic: Being Bunches of Wisdom Culled from the Calendars of Oliver Herford, Ethel Watts Mumford, Addison Mizner", 1]]
ethelberta	[["The Hand of Ethelberta: A Comedy in Chapters", 1]]
etheldreda	[["Etheldreda the Ready: A School Story", 1]]
ethelfleda	[["Bell's Cathedrals: A Short Account of Romsey Abbey: A Description of the Fabric and Notes on the History of the Convent of SS. Mary & Ethelfleda", 1]]
ethelyn	[["Ethelyn's Mistake", 1]]
ether	[["The Ether of Space", 1]]
etherege	[["Sylph Etherege: (From: \"The Snow Image and Other Twice-Told Tales\")", 1]]
etherial	[["Spiritual vampirism: The history of Etherial Softdown, and her friends of the \"New Light\"", 1]]
ethers	[["A Practical Treatise on the Manufacture of Perfumery: Comprising directions for making all kinds of perfumes, sachet powders, fumigating materials, dentrifices, cosmetics, etc., etc., with a full account of the volatile oils, balsams, resins, and other natural and artificial perfume-substances, including the manufacture of fruit ethers, and tests of their purity", 1]]
ethic	[["The Philosophy of the Practical: Economic and Ethic", 1]]
ethica	[["Principia Ethica", 1]]
ethical	[["A Handbook of Ethical Theory", 1], ["A Vision of the Future, Based on the Application of Ethical Principles", 1], ["An ethical philosophy of life presented in its main outlines", 1], ["An ethical problem; or, Sidelights upon scientific experimentation on man and animals", 1], ["Social Rights And Duties: Addresses to Ethical Societies. Vol 1 [of 2]", 1], ["Social Rights And Duties: Addresses to Ethical Societies. Vol 2 [of 2]", 1], ["The ethics of Hercules : $b A study of man's body as the sole determinant of ethical values", 1]]
